review_id,review_text,star_rating,true_label
1,"The flavor of the dark roast is incredible, rich and smooth every single morning.",4,positive
2,"The coffee is fine, average flavor, shipping was on time, price is what it is.",3,neutral
3,"Fantastic flavor, way better than the RoastRivals subscription I used to have.",4,positive
4,My delivery was delayed twice and customer support never fixed the shipping issue.,1,negative
5,The packaging design is gorgeous and the flavor of the Ethiopia beans is outstanding.,5,positive
6,"Fantastic flavor, way better than the RoastRivals subscription I used to have.",4,positive
7,"The flavor of the dark roast is incredible, rich and smooth every single morning.",4,positive
8,"The subscription price increase is ridiculous, too expensive to justify anymore.",2,negative
9,The packaging design is gorgeous and the flavor of the Ethiopia beans is outstanding.,4,positive
10,"The price is too expensive for the amount of coffee you get, I may switch to JavaJoy.",2,negative
11,"Decent beans, nothing special, the packaging is nice but the price is a bit high.",3,neutral
12,"Terrible shipping experience, the box arrived crushed and delivery was slow.",2,negative
13,"The subscription price increase is ridiculous, too expensive to justify anymore.",2,negative
14,The packaging design is gorgeous and the flavor of the Ethiopia beans is outstanding.,4,positive
15,"The subscription price increase is ridiculous, too expensive to justify anymore.",2,negative
16,"Love the taste, the espresso blend has wonderful flavor and always tastes fresh.",5,positive
17,BrewBox beans taste better than JavaJoy and the packaging is so cute and eco friendly.,4,positive
18,"Amazing flavor and the packaging is beautiful, the resealable bags keep everything fresh.",5,positive
19,The packaging design is gorgeous and the flavor of the Ethiopia beans is outstanding.,5,positive
20,"The coffee is fine, average flavor, shipping was on time, price is what it is.",3,neutral
21,BrewBox beans taste better than JavaJoy and the packaging is so cute and eco friendly.,5,positive
22,"The flavor of the dark roast is incredible, rich and smooth every single morning.",4,positive
23,"The flavor of the dark roast is incredible, rich and smooth every single morning.",5,positive
24,BrewBox beans taste better than JavaJoy and the packaging is so cute and eco friendly.,4,positive
25,"The price is too expensive for the amount of coffee you get, I may switch to JavaJoy.",1,negative
26,My delivery was delayed twice and customer support never fixed the shipping issue.,2,negative
27,"Love the taste, the espresso blend has wonderful flavor and always tastes fresh.",5,positive
28,"Shipping took almost two weeks and my order arrived late again, very frustrating.",1,negative
29,"Fantastic flavor, way better than the RoastRivals subscription I used to have.",5,positive
30,"Love the taste, the espresso blend has wonderful flavor and always tastes fresh.",4,positive
31,My delivery was delayed twice and customer support never fixed the shipping issue.,2,negative
32,BrewBox beans taste better than JavaJoy and the packaging is so cute and eco friendly.,5,positive
33,"The subscription price increase is ridiculous, too expensive to justify anymore.",1,negative
34,BrewBox beans taste better than JavaJoy and the packaging is so cute and eco friendly.,4,positive
35,"Terrible shipping experience, the box arrived crushed and delivery was slow.",1,negative
36,"The coffee is fine, average flavor, shipping was on time, price is what it is.",3,neutral
37,"The flavor of the dark roast is incredible, rich and smooth every single morning.",5,positive
38,"Decent beans, nothing special, the packaging is nice but the price is a bit high.",3,neutral
39,The packaging design is gorgeous and the flavor of the Ethiopia beans is outstanding.,4,positive
40,"Love the taste, the espresso blend has wonderful flavor and always tastes fresh.",4,positive
41,The packaging design is gorgeous and the flavor of the Ethiopia beans is outstanding.,4,positive
42,"The flavor of the dark roast is incredible, rich and smooth every single morning.",5,positive
43,BrewBox beans taste better than JavaJoy and the packaging is so cute and eco friendly.,4,positive
44,"The flavor of the dark roast is incredible, rich and smooth every single morning.",5,positive
45,"The coffee is fine, average flavor, shipping was on time, price is what it is.",3,neutral
46,"Decent beans, nothing special, the packaging is nice but the price is a bit high.",3,neutral
47,"The coffee is fine, average flavor, shipping was on time, price is what it is.",3,neutral
48,"Way overpriced compared to JavaJoy, the price per bag keeps going up.",1,negative
49,"Shipping took almost two weeks and my order arrived late again, very frustrating.",1,negative
50,"Fantastic flavor, way better than the RoastRivals subscription I used to have.",5,positive
51,"The subscription price increase is ridiculous, too expensive to justify anymore.",2,negative
52,"Way overpriced compared to JavaJoy, the price per bag keeps going up.",1,negative
53,"The flavor of the dark roast is incredible, rich and smooth every single morning.",5,positive
54,"The subscription price increase is ridiculous, too expensive to justify anymore.",1,negative
55,"Love the taste, the espresso blend has wonderful flavor and always tastes fresh.",5,positive
56,"The coffee is fine, average flavor, shipping was on time, price is what it is.",3,neutral
57,"The price is too expensive for the amount of coffee you get, I may switch to JavaJoy.",1,negative
58,"Amazing flavor and the packaging is beautiful, the resealable bags keep everything fresh.",5,positive
59,"Way overpriced compared to JavaJoy, the price per bag keeps going up.",1,negative
60,BrewBox beans taste better than JavaJoy and the packaging is so cute and eco friendly.,5,positive
61,"Way overpriced compared to JavaJoy, the price per bag keeps going up.",2,negative
62,"Way overpriced compared to JavaJoy, the price per bag keeps going up.",2,negative
63,"Terrible shipping experience, the box arrived crushed and delivery was slow.",1,negative
64,"The flavor of the dark roast is incredible, rich and smooth every single morning.",5,positive
65,The packaging design is gorgeous and the flavor of the Ethiopia beans is outstanding.,5,positive
66,"Terrible shipping experience, the box arrived crushed and delivery was slow.",2,negative
67,"Decent beans, nothing special, the packaging is nice but the price is a bit high.",3,neutral
68,"Love the taste, the espresso blend has wonderful flavor and always tastes fresh.",5,positive
